Question ID,Question,Answer,Category
Q0000001,Do you offer a student discount?,You can apply a discount code at checkout to receive a discount.,Discounts
Q0000002,Can you tell me the status of my order #85924?,Your order #85924 is currently in transit and will be delivered soon.,Order Status
Q0000003,Do you offer expedited shipping?,We offer standard and expedited shipping options.,Shipping
Q0000004,Can you tell me more about this product?,"Yes, we have this jacket available in size M.",Product Information
Q0000005,Are there any ongoing sales?,Multiple discount codes cannot be combined in a single order.,Discounts
Q0000006,What is the process to return an item?,You can return the item within 30 days of purchase using our online return process.,Return/Exchange
Q0000007,How long does shipping take?,You can change your shipping address within 24 hours of placing your order.,Shipping
Q0000008,What are your store hours?,The nearest store is located at 123 Main Street.,Store Info
Q0000009,Can you tell me more about this product?,The dress is available in blue and several other colors.,Product Information
Q0000010,How do I apply a discount code?,You can update your payment method by visiting your account settings.,Payment Issue
Q0000011,How do I return the item I bought?,"Our return policy allows returns within 30 days, provided the item is in its original condition.",Return/Exchange
Q0000012,How do I apply a discount code?,You can update your payment method by visiting your account settings.,Payment Issue
Q0000013,Is this dress available in blue?,This product is made from 100% organic cotton and is available in multiple sizes.,Product Information
Q0000014,Where is my order #88819?,Your order #88819 is out for delivery and should arrive today.,Order Status
Q0000015,How do I return the item I bought?,Exchanges are available for items within 30 days of purchase.,Return/Exchange
Q0000016,"I see a payment error on my invoice, can you help?",Payment errors can be resolved by updating your payment method on our website.,Payment Issue
Q0000017,How do I return the item I bought?,"Our return policy allows returns within 30 days, provided the item is in its original condition.",Return/Exchange
Q0000018,Is this dress available in blue?,"We offer this shirt in sizes S, M, L, and XL.",Product Information
Q0000019,Where is the nearest store?,"Our stores are open from 9 AM to 9 PM, Monday to Saturday.",Store Info
Q0000020,Do you offer expedited shipping?,We offer standard and expedited shipping options.,Shipping
Q0000021,Can I update my payment method for order #40291?,Payment errors can be resolved by updating your payment method on our website.,Payment Issue
Q0000022,Can you tell me more about this product?,The dress is available in blue and several other colors.,Product Information
Q0000023,Do you have in-store pickup?,Curbside pickup is available for online orders at select locations.,Store Info
Q0000024,What is your return policy?,"To return an item, visit our returns page and follow the instructions.",Return/Exchange
Q0000025,Do you offer a student discount?,We offer a 10% discount to students with a valid ID.,Discounts
Q0000026,How long does shipping take?,"Standard shipping takes 3-5 business days, while expedited shipping takes 1-2 days.",Shipping
Q0000027,How long does shipping take?,You can change your shipping address within 24 hours of placing your order.,Shipping
Q0000028,Can you tell me the status of my order #73597?,Your order #73597 is out for delivery and should arrive today.,Order Status
Q0000029,Are there any ongoing sales?,We offer a 10% discount to students with a valid ID.,Discounts
Q0000030,What are the shipping options?,"Standard shipping takes 3-5 business days, while expedited shipping takes 1-2 days.",Shipping
Q0000031,Do you have this jacket in size M?,This product is made from 100% organic cotton and is available in multiple sizes.,Product Information
Q0000032,Can I update my payment method for order #89528?,You can update your payment method by visiting your account settings.,Payment Issue
Q0000033,What are your store hours?,"Our stores are open from 9 AM to 9 PM, Monday to Saturday.",Store Info
